Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65
1,Clients,Web,complete,clickButton,2019-03-05T11:48:28.666+11:00,clientID,ID846,Web,complete,insertValue,2019-03-05T11:48:31.475+11:00,Web,complete,pressKey,2019-03-05T11:48:47.800+11:00,enter,update,ID846,Web,complete,clickButton,2019-03-05T11:48:49.842+11:00,address,addA941addB1938,Web,complete,insertValue,2019-03-05T11:48:53.780+11:00,Country169,country,Web,complete,insertValue,2019-03-05T11:48:59.467+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:49:09.894+11:00,OK,Web,complete,clickButton,2019-03-05T11:49:13.007+11:00,Confirm,Web,complete,clickButton,2019-03-05T11:49:16.589+11:00,,,,,,,,,,,,,,,
2,Clients,Web,complete,clickButton,2019-03-05T11:49:29.456+11:00,clientID,ID415,Web,complete,insertValue,2019-03-05T11:49:34.006+11:00,Web,complete,pressKey,2019-03-05T11:49:51.218+11:00,enter,update,ID415,Web,complete,clickButton,2019-03-05T11:49:54.569+11:00,address,addA1013addB567,Web,complete,insertValue,2019-03-05T11:49:58.732+11:00,Country183,country,Web,complete,insertValue,2019-03-05T11:50:12.987+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:50:19.104+11:00,OK,Web,complete,clickButton,2019-03-05T11:50:21.319+11:00,Confirm,Web,complete,clickButton,2019-03-05T11:50:24.127+11:00,,,,,,,,,,,,,,,
3,Clients,Web,complete,clickButton,2019-03-05T11:50:36.999+11:00,clientID,ID1113,Web,complete,insertValue,2019-03-05T11:50:38.647+11:00,Web,complete,pressKey,2019-03-05T11:50:45.215+11:00,enter,update,ID1113,Web,complete,clickButton,2019-03-05T11:50:48.613+11:00,address,addA746addB190,Web,complete,insertValue,2019-03-05T11:50:51.115+11:00,Australia,country,Web,complete,insertValue,2019-03-05T11:51:02.641+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T11:51:15.611+11:00,ID1113,address,addB190,Web,complete,copy,2019-03-05T11:51:16.642+11:00,paste,A,addB190,Excel,5,complete,2019-03-05T11:51:23.178+11:00,save,Excel,complete,saveFile,2019-03-05T11:51:27.440+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T11:51:30.936+11:00
4,Clients,Web,complete,clickButton,2019-03-05T11:51:45.217+11:00,clientID,ID353,Web,complete,insertValue,2019-03-05T11:51:47.344+11:00,Web,complete,pressKey,2019-03-05T11:51:47.720+11:00,enter,update,ID353,Web,complete,clickButton,2019-03-05T11:51:50.648+11:00,address,addA1475addB1355,Web,complete,insertValue,2019-03-05T11:51:53.245+11:00,Country164,country,Web,complete,insertValue,2019-03-05T11:52:09.293+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:52:16.420+11:00,OK,Web,complete,clickButton,2019-03-05T11:52:19.001+11:00,Confirm,Web,complete,clickButton,2019-03-05T11:52:22.438+11:00,,,,,,,,,,,,,,,
5,Clients,Web,complete,clickButton,2019-03-05T11:52:36.170+11:00,clientID,ID205,Web,complete,insertValue,2019-03-05T11:52:39.579+11:00,Web,complete,pressKey,2019-03-05T11:52:49.994+11:00,enter,update,ID205,Web,complete,clickButton,2019-03-05T11:52:51.410+11:00,address,addA531addB1410,Web,complete,insertValue,2019-03-05T11:52:53.824+11:00,Country190,country,Web,complete,insertValue,2019-03-05T11:52:54.365+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:52:56.322+11:00,OK,Web,complete,clickButton,2019-03-05T11:52:59.530+11:00,Confirm,Web,complete,clickButton,2019-03-05T11:53:02.513+11:00,,,,,,,,,,,,,,,
6,Clients,Web,complete,clickButton,2019-03-05T11:53:16.073+11:00,clientID,ID1651,Web,complete,insertValue,2019-03-05T11:53:17.917+11:00,Web,complete,pressKey,2019-03-05T11:53:21.905+11:00,enter,update,ID1651,Web,complete,clickButton,2019-03-05T11:53:24.711+11:00,address,addA1641addB417,Web,complete,insertValue,2019-03-05T11:53:28.975+11:00,Australia,country,Web,complete,insertValue,2019-03-05T11:53:34.211+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T11:53:34.211+11:00,ID1651,address,addB417,Web,complete,copy,2019-03-05T11:53:45.191+11:00,paste,A,addB417,Excel,5,complete,2019-03-05T11:53:55.169+11:00,save,Excel,complete,saveFile,2019-03-05T11:53:57.928+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T11:54:01.481+11:00
7,Clients,Web,complete,clickButton,2019-03-05T11:54:14.815+11:00,clientID,ID1966,Web,complete,insertValue,2019-03-05T11:54:17.458+11:00,Web,complete,pressKey,2019-03-05T11:54:28.209+11:00,enter,update,ID1966,Web,complete,clickButton,2019-03-05T11:54:31.151+11:00,address,addA1733addB107,Web,complete,insertValue,2019-03-05T11:54:34.283+11:00,Country87,country,Web,complete,insertValue,2019-03-05T11:54:34.284+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:54:41.870+11:00,OK,Web,complete,clickButton,2019-03-05T11:54:44.590+11:00,Confirm,Web,complete,clickButton,2019-03-05T11:54:47.693+11:00,,,,,,,,,,,,,,,
8,Clients,Web,complete,clickButton,2019-03-05T11:55:00.679+11:00,clientID,ID1527,Web,complete,insertValue,2019-03-05T11:55:04.191+11:00,Web,complete,pressKey,2019-03-05T11:55:13.361+11:00,enter,update,ID1527,Web,complete,clickButton,2019-03-05T11:55:16.063+11:00,address,addA1899addB604,Web,complete,insertValue,2019-03-05T11:55:17.999+11:00,Australia,country,Web,complete,insertValue,2019-03-05T11:55:31.912+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T11:55:42.335+11:00,ID1527,address,addB604,Web,complete,copy,2019-03-05T11:55:51.203+11:00,paste,A,addB604,Excel,5,complete,2019-03-05T11:55:57.095+11:00,save,Excel,complete,saveFile,2019-03-05T11:56:02.422+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T11:56:05.842+11:00
9,Clients,Web,complete,clickButton,2019-03-05T11:56:19.902+11:00,clientID,ID725,Web,complete,insertValue,2019-03-05T11:56:21.891+11:00,Web,complete,pressKey,2019-03-05T11:56:36.373+11:00,enter,update,ID725,Web,complete,clickButton,2019-03-05T11:56:39.695+11:00,address,addA1644addB659,Web,complete,insertValue,2019-03-05T11:56:42.956+11:00,Country68,country,Web,complete,insertValue,2019-03-05T11:57:02.018+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:57:09.359+11:00,OK,Web,complete,clickButton,2019-03-05T11:57:12.579+11:00,Confirm,Web,complete,clickButton,2019-03-05T11:57:16.455+11:00,,,,,,,,,,,,,,,
10,Clients,Web,complete,clickButton,2019-03-05T11:57:29.554+11:00,clientID,ID1705,Web,complete,insertValue,2019-03-05T11:57:32.596+11:00,Web,complete,pressKey,2019-03-05T11:57:41.338+11:00,enter,update,ID1705,Web,complete,clickButton,2019-03-05T11:57:46.903+11:00,address,addA1207addB1724,Web,complete,insertValue,2019-03-05T11:57:51.344+11:00,Australia,country,Web,complete,insertValue,2019-03-05T11:58:00.958+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T11:58:15.343+11:00,ID1705,address,addB1724,Web,complete,copy,2019-03-05T11:58:21.520+11:00,paste,A,addB1724,Excel,5,complete,2019-03-05T11:58:31.305+11:00,save,Excel,complete,saveFile,2019-03-05T11:58:34.731+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T11:58:37.998+11:00
11,Clients,Web,complete,clickButton,2019-03-05T11:58:51.652+11:00,clientID,ID723,Web,complete,insertValue,2019-03-05T11:58:56.282+11:00,Web,complete,pressKey,2019-03-05T11:59:05.856+11:00,enter,update,ID723,Web,complete,clickButton,2019-03-05T11:59:11.024+11:00,address,addA1361addB1247,Web,complete,insertValue,2019-03-05T11:59:14.421+11:00,Country32,country,Web,complete,insertValue,2019-03-05T11:59:22.041+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:59:23.209+11:00,OK,Web,complete,clickButton,2019-03-05T11:59:25.095+11:00,Confirm,Web,complete,clickButton,2019-03-05T11:59:27.021+11:00,,,,,,,,,,,,,,,
12,Clients,Web,complete,clickButton,2019-03-05T11:59:39.535+11:00,clientID,ID1739,Web,complete,insertValue,2019-03-05T11:59:41.036+11:00,Web,complete,pressKey,2019-03-05T11:59:42.074+11:00,enter,update,ID1739,Web,complete,clickButton,2019-03-05T11:59:45.853+11:00,address,addA141addB1549,Web,complete,insertValue,2019-03-05T11:59:49.676+11:00,Country68,country,Web,complete,insertValue,2019-03-05T11:59:53.255+11:00,UnbindFile,Web,complete,clickButton,2019-03-05T11:59:58.872+11:00,OK,Web,complete,clickButton,2019-03-05T12:00:01.998+11:00,Confirm,Web,complete,clickButton,2019-03-05T12:00:06.474+11:00,,,,,,,,,,,,,,,
13,Clients,Web,complete,clickButton,2019-03-05T12:00:18.612+11:00,clientID,ID1760,Web,complete,insertValue,2019-03-05T12:00:21.822+11:00,Web,complete,pressKey,2019-03-05T12:00:23.016+11:00,enter,update,ID1760,Web,complete,clickButton,2019-03-05T12:00:26.340+11:00,address,addA1011addB1854,Web,complete,insertValue,2019-03-05T12:00:28.330+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:00:39.385+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:00:45.620+11:00,ID1760,address,addB1854,Web,complete,copy,2019-03-05T12:01:05.072+11:00,paste,A,addB1854,Excel,5,complete,2019-03-05T12:01:12.234+11:00,save,Excel,complete,saveFile,2019-03-05T12:01:14.993+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:01:19.318+11:00
14,Clients,Web,complete,clickButton,2019-03-05T12:01:31.192+11:00,clientID,ID1616,Web,complete,insertValue,2019-03-05T12:01:33.346+11:00,Web,complete,pressKey,2019-03-05T12:01:42.492+11:00,enter,update,ID1616,Web,complete,clickButton,2019-03-05T12:01:44.526+11:00,address,addA44addB965,Web,complete,insertValue,2019-03-05T12:01:47.051+11:00,Australia,country,Web,complete,insertValue,2019-03-05T12:01:53.371+11:00,C:/Customers/Australia/,openFile,xls,Excel,complete,2019-03-05T12:01:59.799+11:00,ID1616,address,addB965,Web,complete,copy,2019-03-05T12:02:09.889+11:00,paste,A,addB965,Excel,5,complete,2019-03-05T12:02:19.188+11:00,save,Excel,complete,saveFile,2019-03-05T12:02:22.270+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-05T12:02:24.266+11:00
