Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49
1,value1,value336,Web,complete,insertValue,2019-03-05T11:42:31.306+11:00,code,26,Web,complete,insertValue,2019-03-05T11:42:31.306+11:00,B6,Web,complete,clickButton,2019-03-05T11:42:37.076+11:00,open,Web,complete,clickButton,2019-03-05T11:42:39.708+11:00,code,26,Web,complete,copy,2019-03-05T11:42:40.664+11:00,paste,B,name,26,Excel,672,complete,2019-03-05T11:42:43.656+11:00,cancel,Web,complete,clickButton,2019-03-05T11:42:46.144+11:00,OK,Web,complete,clickButton,2019-03-05T11:42:50.704+11:00,,
2,value1,value1082,Web,complete,insertValue,2019-03-05T11:43:00.704+11:00,code,26,Web,complete,insertValue,2019-03-05T11:43:10.901+11:00,B6,Web,complete,clickButton,2019-03-05T11:43:18.160+11:00,open,Web,complete,clickButton,2019-03-05T11:43:20.988+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:43:23.544+11:00,data123.xls,code,26,Web,complete,copy,2019-03-05T11:43:26.040+11:00,paste,B,name,26,Excel,853,complete,2019-03-05T11:43:27.868+11:00,Web,complete,goToUrl,2019-03-05T11:43:31.517+11:00,www.webpage.com,OK
3,value1,value939,Web,complete,insertValue,2019-03-05T11:43:42.203+11:00,code,38,Web,complete,insertValue,2019-03-05T11:43:47.851+11:00,B6,Web,complete,clickButton,2019-03-05T11:43:54.466+11:00,Web,complete,goToUrl,2019-03-05T11:43:58.190+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:44:15.354+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:44:16.982+11:00,data123.xls,name81,Excel,complete,findValue,TRUE,2019-03-05T11:44:22.681+11:00,add,Web,complete,clickButton,2019-03-05T11:44:26.690+11:00,OK,Web,complete,clickButton
4,value1,value344,Web,complete,insertValue,2019-03-05T11:44:38.129+11:00,code,45,Web,complete,insertValue,2019-03-05T11:44:41.309+11:00,B7,Web,complete,clickButton,2019-03-05T11:44:45.880+11:00,open,Web,complete,clickButton,2019-03-05T11:44:48.515+11:00,code,45,Web,complete,copy,2019-03-05T11:44:51.111+11:00,paste,B,name,45,Excel,1774,complete,2019-03-05T11:44:55.222+11:00,add,Web,complete,clickButton,2019-03-05T11:44:59.446+11:00,OK,Web,complete,clickButton,2019-03-05T11:45:01.803+11:00,,
5,value1,value1043,Web,complete,insertValue,2019-03-05T11:45:11.803+11:00,code,27,Web,complete,insertValue,2019-03-05T11:45:21.717+11:00,B7,Web,complete,clickButton,2019-03-05T11:45:27.406+11:00,open,Web,complete,clickButton,2019-03-05T11:45:29.756+11:00,code,27,Web,complete,copy,2019-03-05T11:45:30.970+11:00,paste,B,name,27,Excel,461,complete,2019-03-05T11:45:34.705+11:00,add,Web,complete,clickButton,2019-03-05T11:45:37.195+11:00,OK,Web,complete,clickButton,2019-03-05T11:45:40.495+11:00,,
6,value1,value1919,Web,complete,insertValue,2019-03-05T11:45:50.495+11:00,code,23,Web,complete,insertValue,2019-03-05T11:45:54.514+11:00,B7,Web,complete,clickButton,2019-03-05T11:46:00.964+11:00,open,Web,complete,clickButton,2019-03-05T11:46:03.557+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:46:06.289+11:00,data123.xls,name24,Excel,complete,findValue,FALSE,2019-03-05T11:46:08.334+11:00,cancel,Web,complete,clickButton,2019-03-05T11:46:10.988+11:00,OK,Web,complete,clickButton,2019-03-05T11:46:13.077+11:00,,,,
7,value1,value430,Web,complete,insertValue,2019-03-05T11:46:23.077+11:00,code,18,Web,complete,insertValue,2019-03-05T11:46:25.937+11:00,B6,Web,complete,clickButton,2019-03-05T11:46:34.942+11:00,open,Web,complete,clickButton,2019-03-05T11:46:37.434+11:00,code,18,Web,complete,copy,2019-03-05T11:46:41.788+11:00,paste,B,name,18,Excel,578,complete,2019-03-05T11:46:44.603+11:00,cancel,Web,complete,clickButton,2019-03-05T11:46:49.389+11:00,OK,Web,complete,clickButton,2019-03-05T11:46:52.686+11:00,,
8,value1,value1877,Web,complete,insertValue,2019-03-05T11:47:02.686+11:00,code,20,Web,complete,insertValue,2019-03-05T11:47:19.097+11:00,B7,Web,complete,clickButton,2019-03-05T11:47:27.513+11:00,Web,complete,goToUrl,2019-03-05T11:47:30.754+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:47:41.189+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:47:43.522+11:00,data123.xls,code,20,Web,complete,copy,2019-03-05T11:47:46.727+11:00,paste,B,name,20,Excel,1947,complete,2019-03-05T11:47:47.994+11:00,cancel
9,value1,value440,Web,complete,insertValue,2019-03-05T11:48:03.784+11:00,code,24,Web,complete,insertValue,2019-03-05T11:48:05.950+11:00,B6,Web,complete,clickButton,2019-03-05T11:48:21.485+11:00,open,Web,complete,clickButton,2019-03-05T11:48:24.529+11:00,code,24,Web,complete,copy,2019-03-05T11:48:27.410+11:00,paste,B,name,24,Excel,631,complete,2019-03-05T11:48:29.178+11:00,cancel,Web,complete,clickButton,2019-03-05T11:48:32.062+11:00,OK,Web,complete,clickButton,2019-03-05T11:48:34.174+11:00,,
10,value1,value1634,Web,complete,insertValue,2019-03-05T11:48:44.174+11:00,code,27,Web,complete,insertValue,2019-03-05T11:48:50.684+11:00,B7,Web,complete,clickButton,2019-03-05T11:49:03.222+11:00,Web,complete,goToUrl,2019-03-05T11:49:04.599+11:00,www.webpage2.com,open,Web,complete,clickButton,2019-03-05T11:49:14.745+11:00,Excel,complete,openFile,Sheet1,2019-03-05T11:49:18.721+11:00,data123.xls,code,27,Web,complete,copy,2019-03-05T11:49:21.364+11:00,paste,B,name,27,Excel,1443,complete,2019-03-05T11:49:22.945+11:00,Web
