Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,#NAME?,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53
1,name,name720,Web,complete,insertValue,2019-03-07T08:42:12.607+11:00,surname,surname720,Web,complete,insertValue,2019-03-07T08:42:12.607+11:00,age,25,Web,complete,insertValue,2019-03-07T08:42:18.377+11:00,1,type,Web,complete,insertValue,2019-03-07T08:42:24.537+11:00,B1,Web,complete,clickButton,2019-03-07T08:42:24.537+11:00,insertValue,B,4752,Excel,30,complete,2019-03-07T08:42:27.529+11:00,Web,complete,goToUrl,2019-03-07T08:42:32.967+11:00,www.webpage2.com,value2,value4752,Web,complete,copy,2019-03-07T08:42:48.763+11:00,paste,C,vaue4752,Excel,complete
2,complete,2019-03-07T08:42:52.203+11:00,finalCode,vaue4752,Web,complete,paste,2019-03-07T08:42:56.113+11:00,OK,Web,complete,clickButton,2019-03-07T08:42:58.966+11:00,2,name,name2570,Web,complete,insertValue,2019-03-07T08:43:08.966+11:00,surname,surname2570,Web,complete,insertValue,2019-03-07T08:43:18.368+11:00,age,25,Web,complete,insertValue,2019-03-07T08:43:21.832+11:00,4,type,Web,complete,insertValue,2019-03-07T08:43:23.970+11:00,B4,Web,complete,clickButton,2019-03-07T08:43:35.212+11:00,Excel,complete,openFile,Sheet1,2019-03-07T08:43:36.750+11:00,data123.xls,3608,Excel,complete
3,name,name692,Web,complete,insertValue,2019-03-07T08:43:58.976+11:00,surname,surname692,Web,complete,insertValue,2019-03-07T08:44:10.363+11:00,age,28,Web,complete,insertValue,2019-03-07T08:44:20.675+11:00,3,type,Web,complete,insertValue,2019-03-07T08:44:28.905+11:00,B4,Web,complete,clickButton,2019-03-07T08:44:29.097+11:00,Excel,complete,openFile,Sheet1,2019-03-07T08:44:31.133+11:00,data123.xls,2224,Excel,complete,findValue,FALSE,2019-03-07T08:44:34.111+11:00,copy,B,value692,Excel,1,complete,2019-03-07T08:44:36.770+11:00,finalCode,vaue692,Web,complete
4,name,name2855,Web,complete,insertValue,2019-03-07T08:44:51.740+11:00,surname,surname2855,Web,complete,insertValue,2019-03-07T08:44:53.979+11:00,age,47,Web,complete,insertValue,2019-03-07T08:45:07.085+11:00,2,type,Web,complete,insertValue,2019-03-07T08:45:16.999+11:00,B1,Web,complete,clickButton,2019-03-07T08:45:22.688+11:00,insertValue,B,4478,Excel,40,complete,2019-03-07T08:45:26.293+11:00,Web,complete,goToUrl,2019-03-07T08:45:39.344+11:00,www.webpage2.com,value2,value4478,Web,complete,copy,2019-03-07T08:45:45.288+11:00,finalCode,vaue4478,Web,complete,paste
5,name,name2808,Web,complete,insertValue,2019-03-07T08:46:00.392+11:00,surname,surname2808,Web,complete,insertValue,2019-03-07T08:46:06.264+11:00,age,46,Web,complete,insertValue,2019-03-07T08:46:12.983+11:00,1,type,Web,complete,insertValue,2019-03-07T08:46:17.972+11:00,B1,Web,complete,clickButton,2019-03-07T08:46:22.391+11:00,insertValue,B,4427,Excel,18,complete,2019-03-07T08:46:24.792+11:00,Web,complete,goToUrl,2019-03-07T08:46:29.778+11:00,www.webpage2.com,value2,value4427,Web,complete,copy,2019-03-07T08:46:34.898+11:00,finalCode,vaue4427,Web,complete,paste
6,name,name1230,Web,complete,insertValue,2019-03-07T08:46:49.739+11:00,surname,surname1230,Web,complete,insertValue,2019-03-07T08:46:53.749+11:00,age,24,Web,complete,insertValue,2019-03-07T08:47:06.430+11:00,3,type,Web,complete,insertValue,2019-03-07T08:47:16.827+11:00,B4,Web,complete,clickButton,2019-03-07T08:47:32.126+11:00,Web,complete,goToUrl,2019-03-07T08:47:35.304+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T08:47:39.921+11:00,valueX,valuex1230,Web,complete,insertValue,2019-03-07T08:47:46.597+11:00,Cancel,Web,complete,clickButton,2019-03-07T08:47:47.884+11:00,,
7,name,name2107,Web,complete,insertValue,2019-03-07T08:47:57.884+11:00,surname,surname2107,Web,complete,insertValue,2019-03-07T08:48:06.300+11:00,age,27,Web,complete,insertValue,2019-03-07T08:48:15.502+11:00,1,type,Web,complete,insertValue,2019-03-07T08:48:24.074+11:00,B1,Web,complete,clickButton,2019-03-07T08:48:34.864+11:00,insertValue,B,3097,Excel,,-,-,-,-,-,-,-,-,,,,,,,,,,
8,complete,2019-03-07T08:48:37.623+11:00,Web,complete,goToUrl,2019-03-07T08:48:42.203+11:00,www.webpage2.com,value2,value3097,Web,complete,copy,2019-03-07T08:48:51.707+11:00,finalCode,vaue3097,Web,complete,paste,2019-03-07T08:48:55.199+11:00,OK,Web,complete,clickButton,2019-03-07T08:48:56.905+11:00,8,name,name257,Web,complete,insertValue,2019-03-07T08:49:06.905+11:00,surname,surname257,Web,complete,insertValue,2019-03-07T08:49:18.057+11:00,age,29,Web,complete,insertValue,2019-03-07T08:49:26.275+11:00,1,type,Web,complete,insertValue,2019-03-07T08:49:33.676+11:00,B1,Web,complete
9,name,name2491,Web,complete,insertValue,2019-03-07T08:50:07.548+11:00,surname,surname2491,Web,complete,insertValue,2019-03-07T08:50:20.426+11:00,age,21,Web,complete,insertValue,2019-03-07T08:50:26.641+11:00,3,type,Web,complete,insertValue,2019-03-07T08:50:27.543+11:00,B4,Web,complete,clickButton,2019-03-07T08:50:46.268+11:00,Excel,complete,openFile,Sheet1,2019-03-07T08:50:49.582+11:00,data123.xls,1248,Excel,complete,findValue,FALSE,2019-03-07T08:50:52.275+11:00,copy,B,value2491,Excel,1,complete,2019-03-07T08:50:56.702+11:00,finalCode,vaue2491,Web,complete
10,name,name2975,Web,complete,insertValue,2019-03-07T08:51:12.808+11:00,surname,surname2975,Web,complete,insertValue,2019-03-07T08:51:14.142+11:00,age,22,Web,complete,insertValue,2019-03-07T08:51:20.073+11:00,1,type,Web,complete,insertValue,2019-03-07T08:51:29.013+11:00,B1,Web,complete,clickButton,2019-03-07T08:51:40.299+11:00,insertValue,B,1447,Excel,14,complete,2019-03-07T08:51:42.208+11:00,Web,complete,goToUrl,2019-03-07T08:51:45.996+11:00,www.webpage2.com,value2,value1447,Web,complete,copy,2019-03-07T08:51:46.889+11:00,finalCode,vaue1447,Web,complete,paste
11,name,name2822,Web,complete,insertValue,2019-03-07T08:52:01.903+11:00,surname,surname2822,Web,complete,insertValue,2019-03-07T08:52:14.015+11:00,age,23,Web,complete,insertValue,2019-03-07T08:52:24.929+11:00,3,type,Web,complete,insertValue,2019-03-07T08:52:28.782+11:00,B4,Web,complete,clickButton,2019-03-07T08:52:47.021+11:00,Web,complete,goToUrl,2019-03-07T08:52:49.523+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T08:52:51.505+11:00,valueX,valuex2822,Web,complete,insertValue,2019-03-07T08:52:51.505+11:00,Cancel,Web,complete,clickButton,2019-03-07T08:52:53.472+11:00,,
12,name,name2569,Web,complete,insertValue,2019-03-07T08:53:03.472+11:00,surname,surname2569,Web,complete,insertValue,2019-03-07T08:53:03.472+11:00,age,25,Web,complete,insertValue,2019-03-07T08:53:16.326+11:00,1,type,Web,complete,insertValue,2019-03-07T08:53:20.875+11:00,B1,Web,complete,clickButton,2019-03-07T08:53:36.194+11:00,insertValue,B,2189,Excel,8,complete,2019-03-07T08:53:41.467+11:00,Web,complete,goToUrl,2019-03-07T08:53:57.013+11:00,www.webpage2.com,value2,value2189,Web,complete,copy,2019-03-07T08:54:09.435+11:00,paste,C,vaue2189,Excel,2
13,name,name2029,Web,complete,insertValue,2019-03-07T08:54:29.192+11:00,surname,surname2029,Web,complete,insertValue,2019-03-07T08:54:36.424+11:00,age,23,Web,complete,insertValue,2019-03-07T08:54:41.905+11:00,1,type,Web,complete,insertValue,2019-03-07T08:54:50.009+11:00,B1,Web,complete,clickButton,2019-03-07T08:54:59.970+11:00,insertValue,B,1927,Excel,19,complete,2019-03-07T08:55:03.104+11:00,Web,complete,goToUrl,2019-03-07T08:55:14.580+11:00,www.webpage2.com,value2,value1927,Web,complete,copy,2019-03-07T08:55:20.228+11:00,paste,C,vaue1927,Excel,2
14,name,name926,Web,complete,insertValue,2019-03-07T08:55:36.676+11:00,surname,surname926,Web,complete,insertValue,2019-03-07T08:55:44.619+11:00,age,27,Web,complete,insertValue,2019-03-07T08:55:48.872+11:00,1,type,Web,complete,insertValue,2019-03-07T08:55:58.303+11:00,B1,Web,complete,clickButton,2019-03-07T08:56:09.721+11:00,insertValue,B,1314,Excel,2,complete,2019-03-07T08:56:13.910+11:00,Web,complete,goToUrl,2019-03-07T08:56:18.068+11:00,www.webpage2.com,value2,value1314,Web,complete,copy,2019-03-07T08:56:18.841+11:00,finalCode,vaue1314,Web,complete,paste
15,name,name2437,Web,complete,insertValue,2019-03-07T08:56:33.792+11:00,surname,surname2437,Web,complete,insertValue,2019-03-07T08:56:49.282+11:00,age,29,Web,complete,insertValue,2019-03-07T08:57:01.462+11:00,2,type,Web,complete,insertValue,2019-03-07T08:57:01.462+11:00,B1,Web,complete,clickButton,2019-03-07T08:57:15.521+11:00,insertValue,B,4460,Excel,40,complete,2019-03-07T08:57:18.231+11:00,Web,complete,goToUrl,2019-03-07T08:57:23.863+11:00,www.webpage2.com,value2,value4460,Web,complete,copy,2019-03-07T08:57:29.799+11:00,finalCode,vaue4460,Web,complete,paste
16,name,name1935,Web,complete,insertValue,2019-03-07T08:57:48.013+11:00,surname,surname1935,Web,complete,insertValue,2019-03-07T08:57:48.980+11:00,age,40,Web,complete,insertValue,2019-03-07T08:57:56.695+11:00,1,type,Web,complete,insertValue,2019-03-07T08:58:05.870+11:00,B1,Web,complete,clickButton,2019-03-07T08:58:17.132+11:00,insertValue,B,4315,Excel,13,complete,2019-03-07T08:58:18.800+11:00,Web,complete,goToUrl,2019-03-07T08:58:24.376+11:00,www.webpage2.com,value2,value4315,Web,complete,copy,2019-03-07T08:58:31.042+11:00,paste,C,vaue4315,Excel,2
17,name,name2018,Web,complete,insertValue,2019-03-07T08:58:45.372+11:00,surname,surname2018,Web,complete,insertValue,2019-03-07T08:58:45.372+11:00,age,24,Web,complete,insertValue,2019-03-07T08:58:52.014+11:00,4,type,Web,complete,insertValue,2019-03-07T08:59:03.745+11:00,B4,Web,complete,clickButton,2019-03-07T08:59:10.372+11:00,Web,complete,goToUrl,2019-03-07T08:59:12.461+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T08:59:16.514+11:00,valueX,valuex2018,Web,complete,insertValue,2019-03-07T08:59:26.929+11:00,Cancel,Web,complete,clickButton,2019-03-07T08:59:29.922+11:00,,
18,name,name1090,Web,complete,insertValue,2019-03-07T08:59:39.922+11:00,surname,surname1090,Web,complete,insertValue,2019-03-07T08:59:42.926+11:00,age,49,Web,complete,insertValue,2019-03-07T08:59:56.171+11:00,1,type,Web,complete,insertValue,2019-03-07T09:00:07.884+11:00,B1,Web,complete,clickButton,2019-03-07T09:00:19.911+11:00,insertValue,B,1316,Excel,4,complete,2019-03-07T09:00:22.629+11:00,Web,complete,goToUrl,2019-03-07T09:00:34.220+11:00,www.webpage2.com,value2,value1316,Web,complete,copy,2019-03-07T09:00:35.896+11:00,finalCode,vaue1316,Web,complete,paste
19,name,name2651,Web,complete,insertValue,2019-03-07T09:00:50.237+11:00,surname,surname2651,Web,complete,insertValue,2019-03-07T09:01:01.269+11:00,age,25,Web,complete,insertValue,2019-03-07T09:01:09.537+11:00,4,type,Web,complete,insertValue,2019-03-07T09:01:17.810+11:00,B4,Web,complete,clickButton,2019-03-07T09:01:28.750+11:00,Web,complete,goToUrl,2019-03-07T09:01:32.481+11:00,www.webpage.com,B5,Web,complete,clickButton,2019-03-07T09:01:34.850+11:00,valueX,valuex2651,Web,complete,insertValue,2019-03-07T09:01:44.097+11:00,Cancel,Web,complete,clickButton,2019-03-07T09:01:45.770+11:00,,
