Parameter1,Parameter2,Parameter3,Parameter4,Parameter5,Parameter6,Parameter7,Parameter8,Parameter9,Parameter10,Parameter11,Parameter12,Parameter13,Parameter14,Parameter15,Parameter16,Parameter17,Parameter18,Parameter19,Parameter20,Parameter21,Parameter22,Parameter23,Parameter24,Parameter25,Parameter26,Parameter27,Parameter28,Parameter29,Parameter30,Parameter31,Parameter32,Parameter33,Parameter34,Parameter35,Parameter36,Parameter37,Parameter38,Parameter39,Parameter40,Parameter41,Parameter42,Parameter43,Parameter44,Parameter45,Parameter46,Parameter47,Parameter48,Parameter49,Parameter50,Parameter51,Parameter52,Parameter53,Parameter54,Parameter55,Parameter56,Parameter57,Parameter58,Parameter59,Parameter60,Parameter61,Parameter62,Parameter63,Parameter64,Parameter65,Parameter66
1,name,name433,Web,complete,insertValue,2019-03-07T13:09:41.061+11:00,surname,surname433,Web,complete,insertValue,2019-03-07T13:09:52.885+11:00,age,age18,Web,complete,insertValue,2019-03-07T13:09:57.136+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:10:09.298+11:00,confirm,Web,complete,clickButton,2019-03-07T13:10:23.120+11:00,B4,Web,complete,clickButton,2019-03-07T13:10:25.712+11:00,Clients,Web,complete,clickButton,2019-03-07T13:10:29.528+11:00,clientID,ID433,Web,complete,insertValue,2019-03-07T13:10:32.569+11:00,Web,complete,pressKey,2019-03-07T13:10:37.784+11:00,enter,update,ID433,Web,complete,clickButton,2019-03-07T13:10:38.465+11:00,address,addA3761addB3740,Web,complete,insertValue,2019-03-07T13:10:41.006+11:00,Country149,country,Web
2,name,name3725,Web,complete,insertValue,2019-03-07T13:11:14.450+11:00,surname,surname3725,Web,complete,insertValue,2019-03-07T13:11:24.798+11:00,age,age45,Web,complete,insertValue,2019-03-07T13:11:35.386+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:11:35.859+11:00,confirm,Web,complete,clickButton,2019-03-07T13:11:38.299+11:00,B5,Web,complete,clickButton,2019-03-07T13:11:42.324+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T13:11:46.188+11:00,Button6,Web,complete,clickButton,2019-03-07T13:11:56.825+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:11:59.424+11:00,data.xls,copy,B,value850,Excel,90,complete,2019-03-07T13:12:04.851+11:00,Special code,value850,Web,complete,paste,2019-03-07T13:12:07.455+11:00,Country
3,name,name2590,Web,complete,insertValue,2019-03-07T13:12:31.812+11:00,surname,surname2590,Web,complete,insertValue,2019-03-07T13:12:43.725+11:00,age,age26,Web,complete,insertValue,2019-03-07T13:12:52.065+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:12:56.596+11:00,confirm,Web,complete,clickButton,2019-03-07T13:13:13.206+11:00,B3,Web,complete,clickButton,2019-03-07T13:13:15.470+11:00,Button6,Web,complete,clickButton,2019-03-07T13:13:19.458+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:13:23.795+11:00,data.xls,copy,A,value267,Excel,81,complete,2019-03-07T13:13:29.203+11:00,Special code,value267,Web,complete,paste,2019-03-07T13:13:32.691+11:00,OK,Web,complete,clickButton,2019-03-07T13:13:34.700+11:00,,
4,name,name2904,Web,complete,insertValue,2019-03-07T13:13:44.700+11:00,surname,surname2904,Web,complete,insertValue,2019-03-07T13:13:50.822+11:00,age,age26,Web,complete,insertValue,2019-03-07T13:13:57.534+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:14:02.776+11:00,confirm,Web,complete,clickButton,2019-03-07T13:14:02.776+11:00,B4,Web,complete,clickButton,2019-03-07T13:14:07.885+11:00,Clients,Web,complete,clickButton,2019-03-07T13:14:10.560+11:00,clientID,ID2904,Web,complete,insertValue,2019-03-07T13:14:12.518+11:00,Web,complete,pressKey,2019-03-07T13:14:14.146+11:00,enter,update,ID2904,Web,complete,clickButton,2019-03-07T13:14:18.044+11:00,address,addA168addB3486,Web,complete,insertValue,2019-03-07T13:14:21.889+11:00,Australia,country,Web
5,complete,2019-03-07T13:14:56.438+11:00,save,Excel,complete,saveFile,2019-03-07T13:14:58.163+11:00,ConfirmWithFile,Web,complete,clickButton,2019-03-07T13:15:00.585+11:00,OK,Web,complete,clickButton,2019-03-07T13:15:04.044+11:00,5,name,name1206,Web,complete,insertValue,2019-03-07T13:15:14.044+11:00,surname,surname1206,Web,complete,insertValue,2019-03-07T13:15:20.515+11:00,age,age22,Web,complete,insertValue,2019-03-07T13:15:20.515+11:00,T1,type,Web,complete,insertValue,2019-03-07T13:15:27.248+11:00,confirm,Web,complete,clickButton,2019-03-07T13:15:37.367+11:00,B1,Web,complete,clickButton,2019-03-07T13:15:39.669+11:00,name,name1206,Web,complete,copy,2019-03-07T13:15:43.365+11:00,paste,B,name,name1206,Excel,1,complete
6,name,name2980,Web,complete,insertValue,2019-03-07T13:16:09.938+11:00,surname,surname2980,Web,complete,insertValue,2019-03-07T13:16:16.756+11:00,age,age25,Web,complete,insertValue,2019-03-07T13:16:29.897+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:16:43.704+11:00,confirm,Web,complete,clickButton,2019-03-07T13:16:47.885+11:00,B4,Web,complete,clickButton,2019-03-07T13:16:51.929+11:00,Clients,Web,complete,clickButton,2019-03-07T13:16:54.313+11:00,clientID,ID2980,Web,complete,insertValue,2019-03-07T13:16:57.767+11:00,Web,complete,pressKey,2019-03-07T13:17:11.919+11:00,enter,update,ID2980,Web,complete,clickButton,2019-03-07T13:17:15.609+11:00,address,addA1424addB3050,Web,complete,insertValue,2019-03-07T13:17:19.440+11:00,Country51,country,Web
7,name,name384,Web,complete,insertValue,2019-03-07T13:17:50.051+11:00,surname,surname384,Web,complete,insertValue,2019-03-07T13:18:02.314+11:00,age,age22,Web,complete,insertValue,2019-03-07T13:18:04.535+11:00,T3,type,Web,complete,insertValue,2019-03-07T13:18:06.780+11:00,confirm,Web,complete,clickButton,2019-03-07T13:18:15.477+11:00,B4,Web,complete,clickButton,2019-03-07T13:18:18.434+11:00,Clients,Web,complete,clickButton,2019-03-07T13:18:21.517+11:00,clientID,ID384,Web,complete,insertValue,2019-03-07T13:18:24.925+11:00,Web,complete,pressKey,2019-03-07T13:18:40.969+11:00,enter,update,ID384,Web,complete,clickButton,2019-03-07T13:18:43.729+11:00,address,addA1747addB3682,Web,complete,insertValue,2019-03-07T13:18:46.952+11:00,Australia,country,Web
8,name,name1459,Web,complete,insertValue,2019-03-07T13:19:21.769+11:00,surname,surname1459,Web,complete,insertValue,2019-03-07T13:19:30.263+11:00,age,age21,Web,complete,insertValue,2019-03-07T13:19:36.748+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:19:40.622+11:00,confirm,Web,complete,clickButton,2019-03-07T13:19:40.622+11:00,B5,Web,complete,clickButton,2019-03-07T13:19:42.850+11:00,TRUE,Australian,Web,complete,insertBoolValue,2019-03-07T13:19:45.319+11:00,Button6,Web,complete,clickButton,2019-03-07T13:19:55.124+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:20:00.035+11:00,data.xls,copy,B,value580,Excel,22,complete,2019-03-07T13:20:07.549+11:00,Special code,value580,Web,complete,paste,2019-03-07T13:20:09.399+11:00,Country
9,name,name1776,Web,complete,insertValue,2019-03-07T13:20:37.290+11:00,surname,surname1776,Web,complete,insertValue,2019-03-07T13:20:50.616+11:00,age,age19,Web,complete,insertValue,2019-03-07T13:21:02.436+11:00,T4,type,Web,complete,insertValue,2019-03-07T13:21:02.436+11:00,confirm,Web,complete,clickButton,2019-03-07T13:21:12.157+11:00,B5,Web,complete,clickButton,2019-03-07T13:21:15.420+11:00,FALSE,Australian,Web,complete,insertBoolValue,2019-03-07T13:21:16.614+11:00,Button6,Web,complete,clickButton,2019-03-07T13:21:27.539+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:21:30.017+11:00,data.xls,copy,B,value704,Excel,64,complete,2019-03-07T13:21:38.795+11:00,Special code,value704,Web,complete,paste,2019-03-07T13:21:41.347+11:00,Country
10,name,name2343,Web,complete,insertValue,2019-03-07T13:22:08.289+11:00,surname,surname2343,Web,complete,insertValue,2019-03-07T13:22:16.039+11:00,age,age26,Web,complete,insertValue,2019-03-07T13:22:28.826+11:00,T2,type,Web,complete,insertValue,2019-03-07T13:22:36.067+11:00,confirm,Web,complete,clickButton,2019-03-07T13:22:52.022+11:00,B3,Web,complete,clickButton,2019-03-07T13:22:56.155+11:00,Button6,Web,complete,clickButton,2019-03-07T13:23:00.367+11:00,Excel,complete,openFile,Sheet1,2019-03-07T13:23:02.542+11:00,data.xls,copy,A,value985,Excel,44,complete,2019-03-07T13:23:02.542+11:00,Special code,value985,Web,complete,paste,2019-03-07T13:23:06.088+11:00,OK,Web,complete,clickButton,2019-03-07T13:23:07.001+11:00,,
